Subject,Cell count
20.03_LeftCA1_1,84
20.03_LeftCA1_2,94
20.03_LeftCA1_3,94
20.03_LeftCA3_1,81
20.03_LeftCA3_2,87
20.03_LeftCA3_3,96
20.03_LeftDG_1a,104
20.03_LeftDG_1b,84
20.03_LeftDG_2a,82
20.03_LeftDG_2b,82
20.03_LeftDG_3a,89
20.03_LeftDG_3b,97
20.03_RightCA1_1,95
20.03_RightCA1_2,89
20.03_RightCA1_3,103
20.03_RightCA3_1,78
20.03_RightCA3_2,81
20.03_RightCA3_3,83
20.03_RightDG_1a,62
20.03_RightDG_1b,84
20.03_RightDG_2a,62
20.03_RightDG_2b,73
20.03_RightDG_3a,71
20.03_RightDG_3b,71
20.05_LeftCA1_1,97
20.05_LeftCA1_2,87
20.05_LeftCA1_3,88
20.05_LeftCA3_1,84
20.05_LeftCA3_2,74
20.05_LeftCA3_3,50
20.05_LeftDG_1a,74
20.05_LeftDG_1b,66
20.05_LeftDG_2a,83
20.05_LeftDG_2b,75
20.05_LeftDG_3a,74
20.05_LeftDG_3b,48
20.05_RightCA1_1,84
20.05_RightCA1_2,91
20.05_RightCA1_3,85
20.05_RightCA3_1,65
20.05_RightCA3_2,74
20.05_RightCA3_3,56
20.05_RightDG_1a,82
20.05_RightDG_1b,74
20.05_RightDG_2a,76
20.05_RightDG_2b,79
20.05_RightDG_3a,68
20.05_RightDG_3b,77
20.11_LeftCA1_1,106
20.11_LeftCA1_2,109
20.11_LeftCA1_3,105
20.11_LeftCA3_1,81
20.11_LeftCA3_2,66
20.11_LeftCA3_3,78
20.11_LeftDG_1a,93
20.11_LeftDG_1b,96
20.11_LeftDG_2a,89
20.11_LeftDG_2b,90
20.11_LeftDG_3a,85
20.11_LeftDG_3b,82
20.11_RightCA1_1,108
20.11_RightCA1_2,95
20.11_RightCA1_3,104
20.11_RightCA3_1,94
20.11_RightCA3_2,75
20.11_RightCA3_3,81
20.11_RightDG_1a,84
20.11_RightDG_1b,86
20.11_RightDG_2a,76
20.11_RightDG_2b,87
20.11_RightDG_3a,74
20.11_RightDG_3b,79
40.09_LeftCA1_1,84
40.09_LeftCA1_2,80
40.09_LeftCA1_3,81
40.09_LeftCA3_1,87
40.09_LeftCA3_2,82
40.09_LeftCA3_3,89
40.09_LeftDG_1a,65
40.09_LeftDG_1b,77
40.09_LeftDG_2a,79
40.09_LeftDG_2b,71
40.09_LeftDG_3a,83
40.09_LeftDG_3b,88
40.09_RightCA1_1,71
40.09_RightCA1_2,84
40.09_RightCA1_3,76
40.09_RightCA3_1,82
40.09_RightCA3_2,81
40.09_RightCA3_3,75
40.09_RightDG_1a,87
40.09_RightDG_1b,78
40.09_RightDG_2a,83
40.09_RightDG_2b,81
40.09_RightDG_3a,79
40.09_RightDG_3b,85
40.34_LeftCA1_1,75
40.34_LeftCA1_2,73
40.34_LeftCA1_3,70
40.34_LeftCA3_1,68
40.34_LeftCA3_2,77
40.34_LeftCA3_3,66
40.34_LeftDG_1a,86
40.34_LeftDG_1b,79
40.34_LeftDG_2a,71
40.34_LeftDG_2b,62
40.34_LeftDG_3a,63
40.34_LeftDG_3b,66
40.34_RightCA1_1,67
40.34_RightCA1_2,80
40.34_RightCA1_3,66
40.34_RightCA3_1,51
40.34_RightCA3_2,64
40.34_RightCA3_3,61
40.34_RightDG_1a,71
40.34_RightDG_1b,68
40.34_RightDG_2a,57
40.34_RightDG_2b,50
40.34_RightDG_3a,52
40.34_RightDG_3b,55
142_LeftCA1_1,23
142_LeftCA1_2,22
142_LeftCA1_3,31
142_LeftCA3_1,15
142_LeftCA3_2,20
142_LeftCA3_3,18
142_LeftDG_1a,26
142_LeftDG_1b,18
142_LeftDG_2a,13
142_LeftDG_2b,21
142_LeftDG_3a,14
142_LeftDG_3b,24
142_RightCA1_1,33
142_RightCA1_2,40
142_RightCA1_3,35
142_RightCA3_1,16
142_RightCA3_2,20
142_RightCA3_3,29
142_RightDG_1a,23
142_RightDG_1b,24
142_RightDG_2a,28
142_RightDG_2b,21
142_RightDG_3a,23
142_RightDG_3b,21
143_LeftCA1_1,33
143_LeftCA1_2,22
143_LeftCA1_3,29
143_LeftCA3_1,30
143_LeftCA3_2,32
143_LeftCA3_3,28
143_LeftDG_1a,23
143_LeftDG_1b,17
143_LeftDG_2a,23
143_LeftDG_2b,20
143_LeftDG_3a,18
143_LeftDG_3b,28
143_RightCA1_1,30
143_RightCA1_2,33
143_RightCA1_3,32
143_RightCA3_1,14
143_RightCA3_2,27
143_RightCA3_3,30
143_RightDG_1a,16
143_RightDG_1b,26
143_RightDG_2a,22
143_RightDG_2b,19
143_RightDG_3a,16
143_RightDG_3b,21
