,Cell count,# Branches,# Junctions,# End-points,Avg branch length,Branches/cell,Junctions/cell,End-points/cell,Avg branch length/cell
6_LeftCA1_1,57,,,,,,,,
6_LeftCA1_2,48,,,,,,,,
6_LeftCA1_3,38,,,,,,,,
6_LeftCA3_1,37,,,,,,,,
6_LeftCA3_2,42,,,,,,,,
6_LeftCA3_3,30,,,,,,,,
6_LeftDG_1a,81,,,,,,,,
6_LeftDG_1b,37,,,,,,,,
6_LeftDG_2a,54,,,,,,,,
6_LeftDG_2b,24,,,,,,,,
6_LeftDG_3a,57,,,,,,,,
6_LeftDG_3b,28,,,,,,,,
6_RightCA1_1,47,,,,,,,,
6_RightCA1_2,45,,,,,,,,
6_RightCA1_3,42,,,,,,,,
6_RightCA3_1,33,,,,,,,,
6_RightCA3_2,28,,,,,,,,
6_RightCA3_3,30,,,,,,,,
6_RightDG_1a,63,,,,,,,,
6_RightDG_1b,25,,,,,,,,
6_RightDG_2a,65,,,,,,,,
6_RightDG_2b,26,,,,,,,,
6_RightDG_3a,48,,,,,,,,
6_RightDG_3b,24,,,,,,,,
8_LeftCA1_1,40,,,,,,,,
8_LeftCA1_2,43,,,,,,,,
8_LeftCA1_3,42,,,,,,,,
8_LeftCA3_1,31,,,,,,,,
8_LeftCA3_2,33,,,,,,,,
8_LeftCA3_3,31,,,,,,,,
8_LeftDG_1a,41,,,,,,,,
8_LeftDG_1b,27,,,,,,,,
8_LeftDG_2a,42,,,,,,,,
8_LeftDG_2b,23,,,,,,,,
8_LeftDG_3a,42,,,,,,,,
8_LeftDG_3b,32,,,,,,,,
8_RightCA1_1,46,,,,,,,,
8_RightCA1_2,40,,,,,,,,
8_RightCA1_3,39,,,,,,,,
8_RightCA3_1,37,,,,,,,,
8_RightCA3_2,37,,,,,,,,
8_RightCA3_3,34,,,,,,,,
8_RightDG_1a,52,,,,,,,,
8_RightDG_1b,29,,,,,,,,
8_RightDG_2a,43,,,,,,,,
8_RightDG_2b,26,,,,,,,,
8_RightDG_3a,48,,,,,,,,
8_RightDG_3b,24,,,,,,,,
9_LeftCA1_1,37,,,,,,,,
9_LeftCA1_2,36,,,,,,,,
9_LeftCA1_3,38,,,,,,,,
9_LeftCA3_1,27,,,,,,,,
9_LeftCA3_2,25,,,,,,,,
9_LeftCA3_3,29,,,,,,,,
9_LeftDG_1a,40,,,,,,,,
9_LeftDG_1b,22,,,,,,,,
9_LeftDG_2a,66,,,,,,,,
9_LeftDG_2b,31,,,,,,,,
9_LeftDG_3a,43,,,,,,,,
9_LeftDG_3b,24,,,,,,,,
9_RightCA1_1,36,,,,,,,,
9_RightCA1_2,44,,,,,,,,
9_RightCA1_3,32,,,,,,,,
9_RightCA3_1,27,,,,,,,,
9_RightCA3_2,35,,,,,,,,
9_RightCA3_3,26,,,,,,,,
9_RightDG_1a,45,,,,,,,,
9_RightDG_1b,22,,,,,,,,
9_RightDG_2a,67,,,,,,,,
9_RightDG_2b,35,,,,,,,,
9_RightDG_3a,53,,,,,,,,
9_RightDG_3b,25,,,,,,,,
11_LeftCA1_1,41,,,,,,,,
11_LeftCA1_2,59,,,,,,,,
11_LeftCA1_3,55,,,,,,,,
11_LeftCA3_1,41,,,,,,,,
11_LeftCA3_2,44,,,,,,,,
11_LeftCA3_3,45,,,,,,,,
11_LeftDG_1a,51,,,,,,,,
11_LeftDG_1b,30,,,,,,,,
11_LeftDG_2a,40,,,,,,,,
11_LeftDG_2b,40,,,,,,,,
11_LeftDG_3a,68,,,,,,,,
11_LeftDG_3b,37,,,,,,,,
11_RightCA1_1,41,,,,,,,,
11_RightCA1_2,49,,,,,,,,
11_RightCA1_3,41,,,,,,,,
11_RightCA3_1,34,,,,,,,,
11_RightCA3_2,41,,,,,,,,
11_RightCA3_3,41,,,,,,,,
11_RightDG_1a,40,,,,,,,,
11_RightDG_1b,29,,,,,,,,
11_RightDG_2a,63,,,,,,,,
11_RightDG_2b,49,,,,,,,,
11_RightDG_3a,60,,,,,,,,
11_RightDG_3b,36,,,,,,,,
13_LeftCA1_1,50,,,,,,,,
13_LeftCA1_2,49,,,,,,,,
13_LeftCA1_3,48,,,,,,,,
13_LeftCA3_1,34,,,,,,,,
13_LeftCA3_2,42,,,,,,,,
13_LeftCA3_3,30,,,,,,,,
13_LeftDG_1a,48,,,,,,,,
13_LeftDG_1b,31,,,,,,,,
13_LeftDG_2a,46,,,,,,,,
13_LeftDG_2b,37,,,,,,,,
13_LeftDG_3a,60,,,,,,,,
13_LeftDG_3b,30,,,,,,,,
13_RightCA1_1,48,,,,,,,,
13_RightCA1_2,51,,,,,,,,
13_RightCA1_3,43,,,,,,,,
13_RightCA3_1,33,,,,,,,,
13_RightCA3_2,40,,,,,,,,
13_RightCA3_3,38,,,,,,,,
13_RightDG_1a,37,,,,,,,,
13_RightDG_1b,36,,,,,,,,
13_RightDG_2a,51,,,,,,,,
13_RightDG_2b,34,,,,,,,,
13_RightDG_3a,60,,,,,,,,
13_RightDG_3b,30,,,,,,,,
15_LeftCA1_1,48,,,,,,,,
15_LeftCA1_2,46,,,,,,,,
15_LeftCA1_3,43,,,,,,,,
15_LeftCA3_1,20,,,,,,,,
15_LeftCA3_2,32,,,,,,,,
15_LeftCA3_3,27,,,,,,,,
15_LeftDG_1a,60,,,,,,,,
15_LeftDG_1b,36,,,,,,,,
15_LeftDG_2a,60,,,,,,,,
15_LeftDG_2b,33,,,,,,,,
15_LeftDG_3a,53,,,,,,,,
15_LeftDG_3b,33,,,,,,,,
15_RightCA1_1,43,,,,,,,,
15_RightCA1_2,51,,,,,,,,
15_RightCA1_3,40,,,,,,,,
15_RightCA3_1,29,,,,,,,,
15_RightCA3_2,33,,,,,,,,
15_RightCA3_3,31,,,,,,,,
15_RightDG_1a,52,,,,,,,,
15_RightDG_1b,32,,,,,,,,
15_RightDG_2a,49,,,,,,,,
15_RightDG_2b,33,,,,,,,,
15_RightDG_3a,57,,,,,,,,
15_RightDG_3b,29,,,,,,,,
36_LeftCA1_1,50,,,,,,,,
36_LeftCA1_2,47,,,,,,,,
36_LeftCA1_3,51,,,,,,,,
36_LeftCA3_1,36,,,,,,,,
36_LeftCA3_2,40,,,,,,,,
36_LeftCA3_3,44,,,,,,,,
36_LeftDG_1a,68,,,,,,,,
36_LeftDG_1b,39,,,,,,,,
36_LeftDG_2a,67,,,,,,,,
36_LeftDG_2b,32,,,,,,,,
36_LeftDG_3a,68,,,,,,,,
36_LeftDG_3b,32,,,,,,,,
36_RightCA1_1,44,,,,,,,,
36_RightCA1_2,50,,,,,,,,
36_RightCA1_3,36,,,,,,,,
36_RightCA3_1,41,,,,,,,,
36_RightCA3_2,34,,,,,,,,
36_RightCA3_3,35,,,,,,,,
36_RightDG_1a,55,,,,,,,,
36_RightDG_1b,33,,,,,,,,
36_RightDG_2a,74,,,,,,,,
36_RightDG_2b,32,,,,,,,,
36_RightDG_3a,60,,,,,,,,
36_RightDG_3b,28,,,,,,,,
38_LeftCA1_1,57,,,,,,,,
38_LeftCA1_2,50,,,,,,,,
38_LeftCA1_3,40,,,,,,,,
38_LeftCA3_1,37,,,,,,,,
38_LeftCA3_2,39,,,,,,,,
38_LeftCA3_3,32,,,,,,,,
38_LeftDG_1a,45,,,,,,,,
38_LeftDG_1b,50,,,,,,,,
38_LeftDG_2a,58,,,,,,,,
38_LeftDG_2b,39,,,,,,,,
38_LeftDG_3a,63,,,,,,,,
38_LeftDG_3b,34,,,,,,,,
38_RightCA1_1,50,,,,,,,,
38_RightCA1_2,52,,,,,,,,
38_RightCA1_3,51,,,,,,,,
38_RightCA3_1,39,,,,,,,,
38_RightCA3_2,28,,,,,,,,
38_RightCA3_3,33,,,,,,,,
38_RightDG_1a,47,,,,,,,,
38_RightDG_1b,46,,,,,,,,
38_RightDG_2a,69,,,,,,,,
38_RightDG_2b,35,,,,,,,,
38_RightDG_3a,51,,,,,,,,
38_RightDG_3b,30,,,,,,,,
40_LeftCA1_1,46,,,,,,,,
40_LeftCA1_2,49,,,,,,,,
40_LeftCA1_3,58,,,,,,,,
40_LeftCA3_1,39,,,,,,,,
40_LeftCA3_2,34,,,,,,,,
40_LeftCA3_3,41,,,,,,,,
40_LeftDG_1a,61,,,,,,,,
40_LeftDG_1b,33,,,,,,,,
40_LeftDG_2a,64,,,,,,,,
40_LeftDG_2b,46,,,,,,,,
40_LeftDG_3a,64,,,,,,,,
40_LeftDG_3b,31,,,,,,,,
40_RightCA1_1,50,,,,,,,,
40_RightCA1_2,48,,,,,,,,
40_RightCA1_3,51,,,,,,,,
40_RightCA3_1,32,,,,,,,,
40_RightCA3_2,35,,,,,,,,
40_RightCA3_3,43,,,,,,,,
40_RightDG_1a,59,,,,,,,,
40_RightDG_1b,31,,,,,,,,
40_RightDG_2a,68,,,,,,,,
40_RightDG_2b,33,,,,,,,,
40_RightDG_3a,49,,,,,,,,
40_RightDG_3b,33,,,,,,,,
51_LeftCA1_1,50,,,,,,,,
51_LeftCA1_2,40,,,,,,,,
51_LeftCA1_3,48,,,,,,,,
51_LeftCA3_1,36,,,,,,,,
51_LeftCA3_2,41,,,,,,,,
51_LeftCA3_3,40,,,,,,,,
51_LeftDG_1a,60,,,,,,,,
51_LeftDG_1b,34,,,,,,,,
51_LeftDG_2a,63,,,,,,,,
51_LeftDG_2b,30,,,,,,,,
51_LeftDG_3a,74,,,,,,,,
51_LeftDG_3b,30,,,,,,,,
51_RightCA1_1,45,,,,,,,,
51_RightCA1_2,48,,,,,,,,
51_RightCA1_3,50,,,,,,,,
51_RightCA3_1,33,,,,,,,,
51_RightCA3_2,33,,,,,,,,
51_RightCA3_3,36,,,,,,,,
51_RightDG_1a,56,,,,,,,,
51_RightDG_1b,36,,,,,,,,
51_RightDG_2a,45,,,,,,,,
51_RightDG_2b,35,,,,,,,,
51_RightDG_3a,54,,,,,,,,
