 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,1,0.025,0,0,0.025
2,0,0,1,0,0,0.000,0,0,0.000
3,1,0,2,0,1,0.021,0,0,0.021
4,1,0,2,0,1,0.021,0,0,0.021
5,1,0,2,0,6,0.082,0,0,0.082
6,1,0,2,0,3,0.046,0,0,0.046
7,0,0,1,0,0,0.000,0,0,0.000
8,0,0,1,0,0,0.000,0,0,0.000
9,1,0,2,0,1,0.029,0,0,0.029
10,1,0,2,0,1,0.025,0,0,0.025
11,1,0,2,0,1,0.029,0,0,0.029
12,1,0,2,0,0,0.010,0,0,0.010
13,0,0,1,0,0,0.000,0,0,0.000
14,1,0,2,0,0,0.010,0,0,0.010
15,0,0,1,0,0,0.000,0,0,0.000
16,1,0,2,0,6,0.082,0,0,0.082
17,1,0,2,0,1,0.025,0,0,0.025
18,1,0,2,0,0,0.015,0,0,0.015
19,1,0,2,0,0,0.010,0,0,0.010
20,1,0,2,0,1,0.029,0,0,0.029
21,1,0,2,0,0,0.010,0,0,0.010
22,0,0,1,0,0,0.000,0,0,0.000
23,1,0,2,0,0,0.010,0,0,0.010
24,0,0,1,0,0,0.000,0,0,0.000
25,1,0,2,0,4,0.061,0,0,0.061
26,1,0,2,0,1,0.025,0,0,0.025
27,1,0,2,0,0,0.010,0,0,0.010
28,1,0,2,0,0,0.010,0,0,0.010
29,0,0,1,0,0,0.000,0,0,0.000
30,1,0,2,0,0,0.010,0,0,0.010
31,0,0,1,0,0,0.000,0,0,0.000
32,1,0,2,0,0,0.010,0,0,0.010
33,1,0,2,0,0,0.010,0,0,0.010
34,0,0,1,0,0,0.000,0,0,0.000
35,1,0,2,0,2,0.036,0,0,0.036
36,1,0,2,0,1,0.029,0,0,0.029
37,0,0,1,0,0,0.000,0,0,0.000
38,0,0,1,0,0,0.000,0,0,0.000
39,3,1,3,1,7,0.042,1,0,0.086
40,1,0,2,0,1,0.025,0,0,0.025
41,1,0,2,0,1,0.025,0,0,0.025
42,1,0,2,0,0,0.015,0,0,0.015
43,1,0,2,0,2,0.036,0,0,0.036
44,1,0,2,0,1,0.021,0,0,0.021
45,0,0,1,0,0,0.000,0,0,0.000
46,0,0,1,0,0,0.000,0,0,0.000
47,1,0,2,0,0,0.010,0,0,0.010
48,1,0,2,0,0,0.015,0,0,0.015
49,3,1,3,1,7,0.040,1,0,0.046
50,0,0,1,0,0,0.000,0,0,0.000
51,1,0,2,0,0,0.010,0,0,0.010
52,1,0,2,0,1,0.021,0,0,0.021
53,0,0,1,0,0,0.000,0,0,0.000
54,1,0,2,0,0,0.010,0,0,0.010
55,0,0,1,0,0,0.000,0,0,0.000
56,1,0,2,0,1,0.025,0,0,0.025
57,1,0,2,0,0,0.010,0,0,0.010
58,0,0,1,0,0,0.000,0,0,0.000
59,0,0,1,0,0,0.000,0,0,0.000
60,1,0,2,0,0,0.010,0,0,0.010
61,1,0,2,0,1,0.021,0,0,0.021
62,1,0,2,0,2,0.036,0,0,0.036
63,0,0,1,0,0,0.000,0,0,0.000
64,1,0,2,0,5,0.071,0,0,0.071
65,1,0,2,0,2,0.040,0,0,0.040
66,1,0,2,0,0,0.010,0,0,0.010
67,1,0,2,0,1,0.029,0,0,0.029
68,0,0,1,0,0,0.000,0,0,0.000
69,3,1,3,3,13,0.077,1,0,0.134
70,1,0,2,0,1,0.021,0,0,0.021
71,1,0,2,0,0,0.010,0,0,0.010
72,1,0,2,0,0,0.010,0,0,0.010
73,1,0,2,0,13,0.163,0,0,0.163
74,1,0,2,0,0,0.010,0,0,0.010
75,1,0,2,0,0,0.010,0,0,0.010
76,1,0,2,0,3,0.046,0,0,0.046
77,1,0,2,0,1,0.025,0,0,0.025
78,1,0,2,0,1,0.029,0,0,0.029
79,0,0,1,0,0,0.000,0,0,0.000
80,1,0,2,0,0,0.015,0,0,0.015
81,1,0,2,0,0,0.010,0,0,0.010
82,1,0,2,0,0,0.010,0,0,0.010
83,1,0,2,0,3,0.042,0,0,0.042
84,1,0,2,0,0,0.010,0,0,0.010
85,3,1,3,3,23,0.120,1,0,0.166
86,1,0,2,0,0,0.010,0,0,0.010
87,1,0,2,0,2,0.031,0,0,0.031
88,0,0,1,0,0,0.000,0,0,0.000
89,1,0,2,0,1,0.021,0,0,0.021
90,3,1,3,1,11,0.065,1,0,0.136
91,1,0,2,0,4,0.065,0,0,0.065
92,1,0,2,0,0,0.010,0,0,0.010
93,1,0,2,0,2,0.036,0,0,0.036
94,1,0,2,0,3,0.050,0,0,0.050
95,1,0,2,0,0,0.015,0,0,0.015
96,1,0,2,0,1,0.025,0,0,0.025
97,1,0,2,0,1,0.021,0,0,0.021
98,0,0,1,0,0,0.000,0,0,0.000
99,1,0,2,0,1,0.021,0,0,0.021
100,1,0,2,0,0,0.015,0,0,0.015
101,1,0,2,0,0,0.010,0,0,0.010
102,1,0,2,0,1,0.029,0,0,0.029
103,1,0,2,0,3,0.046,0,0,0.046
104,0,0,1,0,0,0.000,0,0,0.000
105,1,0,2,0,7,0.092,0,0,0.092
106,1,0,2,0,4,0.056,0,0,0.056
107,1,0,2,0,0,0.010,0,0,0.010
108,1,0,2,0,0,0.010,0,0,0.010
109,1,0,2,0,1,0.025,0,0,0.025
110,1,0,2,0,0,0.010,0,0,0.010
111,1,0,2,0,0,0.015,0,0,0.015
112,8,4,4,11,44,0.087,4,0,0.184
