 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,2,0.036,0,0,0.036
2,1,0,2,0,6,0.090,0,0,0.090
3,1,0,2,0,0,0.015,0,0,0.015
4,13,6,7,21,87,0.107,5,1,0.222
5,0,0,1,0,0,0.000,0,0,0.000
6,1,0,2,0,0,0.010,0,0,0.010
7,1,0,2,0,11,0.142,0,0,0.142
8,1,0,2,0,2,0.036,0,0,0.036
9,1,0,2,0,3,0.055,0,0,0.055
10,0,0,1,0,0,0.000,0,0,0.000
11,1,0,2,0,9,0.117,0,0,0.117
12,1,0,2,0,1,0.025,0,0,0.025
13,3,1,3,1,11,0.056,1,0,0.071
14,1,0,2,0,6,0.090,0,0,0.090
15,1,0,2,0,1,0.025,0,0,0.025
16,1,0,2,0,5,0.071,0,0,0.071
17,1,0,2,0,8,0.111,0,0,0.111
18,1,0,2,0,8,0.111,0,0,0.111
19,0,0,1,0,0,0.000,0,0,0.000
20,1,0,2,0,1,0.025,0,0,0.025
21,0,0,1,0,0,0.000,0,0,0.000
22,1,0,2,0,0,0.010,0,0,0.010
23,1,0,2,0,6,0.082,0,0,0.082
24,1,0,2,0,0,0.010,0,0,0.010
25,1,0,2,0,1,0.029,0,0,0.029
26,1,0,2,0,9,0.126,0,0,0.126
27,1,0,2,0,0,0.010,0,0,0.010
28,1,0,2,0,0,0.015,0,0,0.015
29,1,0,2,0,0,0.010,0,0,0.010
30,1,0,2,0,0,0.010,0,0,0.010
31,1,0,2,0,0,0.010,0,0,0.010
32,1,0,2,0,5,0.075,0,0,0.075
33,1,0,2,0,2,0.040,0,0,0.040
34,1,0,2,0,2,0.036,0,0,0.036
35,3,1,3,1,3,0.030,1,0,0.040
36,1,0,2,0,1,0.025,0,0,0.025
37,5,2,4,4,13,0.054,2,0,0.096
38,0,0,1,0,0,0.000,0,0,0.000
39,1,0,2,0,0,0.010,0,0,0.010
40,1,0,2,0,0,0.010,0,0,0.010
41,3,1,3,3,28,0.136,1,0,0.167
42,1,0,2,0,1,0.025,0,0,0.025
43,1,0,2,0,1,0.021,0,0,0.021
44,1,0,2,0,4,0.061,0,0,0.061
45,0,0,1,0,0,0.000,0,0,0.000
46,1,0,2,0,7,0.096,0,0,0.096
47,3,1,3,1,8,0.045,1,0,0.065
48,1,0,2,0,0,0.010,0,0,0.010
49,27,14,10,48,136,0.090,12,2,0.197
50,1,0,2,0,4,0.069,0,0,0.069
51,1,0,2,0,2,0.036,0,0,0.036
52,1,0,2,0,2,0.031,0,0,0.031
53,0,0,1,0,0,0.000,0,0,0.000
54,0,0,1,0,0,0.000,0,0,0.000
55,1,0,2,0,0,0.010,0,0,0.010
56,1,0,2,0,0,0.010,0,0,0.010
57,3,1,3,3,10,0.062,1,0,0.082
58,1,0,2,0,0,0.010,0,0,0.010
59,1,0,2,0,1,0.025,0,0,0.025
60,1,0,2,0,1,0.025,0,0,0.025
61,7,3,5,10,23,0.063,3,0,0.117
62,1,0,2,0,2,0.036,0,0,0.036
63,1,0,2,0,21,0.272,0,0,0.272
64,1,0,2,0,0,0.010,0,0,0.010
65,1,0,2,0,13,0.154,0,0,0.154
66,1,0,2,0,10,0.132,0,0,0.132
67,3,1,3,4,9,0.059,1,0,0.086
68,0,0,1,0,0,0.000,0,0,0.000
69,3,1,3,3,10,0.061,1,0,0.107
70,1,0,2,0,4,0.056,0,0,0.056
71,1,0,2,0,1,0.021,0,0,0.021
72,1,0,2,0,3,0.050,0,0,0.050
73,0,0,1,0,0,0.000,0,0,0.000
74,3,1,3,3,5,0.043,1,0,0.094
75,1,0,2,0,6,0.086,0,0,0.086
76,1,0,2,0,2,0.031,0,0,0.031
77,1,0,2,0,0,0.010,0,0,0.010
78,1,0,2,0,0,0.010,0,0,0.010
79,1,0,2,0,4,0.056,0,0,0.056
80,1,0,2,0,0,0.015,0,0,0.015
81,0,0,1,0,0,0.000,0,0,0.000
82,1,0,2,0,0,0.010,0,0,0.010
83,1,0,2,0,4,0.065,0,0,0.065
84,9,4,5,16,45,0.092,3,1,0.199
85,1,0,2,0,7,0.083,0,0,0.083
86,21,9,11,40,144,0.113,5,4,0.287
87,0,0,1,0,0,0.000,0,0,0.000
88,1,0,2,0,5,0.075,0,0,0.075
89,1,0,2,0,1,0.025,0,0,0.025
90,1,0,2,0,0,0.015,0,0,0.015
91,1,0,2,0,1,0.025,0,0,0.025
92,1,0,2,0,0,0.015,0,0,0.015
93,1,0,2,0,0,0.015,0,0,0.015
94,0,0,1,0,0,0.000,0,0,0.000
95,1,0,2,0,0,0.015,0,0,0.015
96,0,0,1,0,0,0.000,0,0,0.000
97,1,0,2,0,0,0.015,0,0,0.015
98,3,1,3,1,12,0.062,1,0,0.107
99,1,0,2,0,5,0.075,0,0,0.075
100,0,0,1,0,0,0.000,0,0,0.000
101,0,0,1,0,0,0.000,0,0,0.000
102,1,0,2,0,3,0.055,0,0,0.055
103,1,0,2,0,1,0.025,0,0,0.025
104,1,0,2,0,7,0.096,0,0,0.096
105,1,0,2,0,2,0.036,0,0,0.036
106,1,0,2,0,0,0.010,0,0,0.010
107,1,0,2,0,0,0.010,0,0,0.010
108,0,0,1,0,0,0.000,0,0,0.000
109,1,0,2,0,0,0.010,0,0,0.010
110,4,1,4,5,27,0.113,0,1,0.258
111,1,0,2,0,0,0.015,0,0,0.015
112,1,0,2,0,2,0.040,0,0,0.040
113,1,0,2,0,0,0.010,0,0,0.010
114,0,0,1,0,0,0.000,0,0,0.000
115,1,0,2,0,1,0.025,0,0,0.025
116,1,0,2,0,7,0.096,0,0,0.096
117,1,0,2,0,5,0.062,0,0,0.062
118,1,0,2,0,2,0.031,0,0,0.031
119,1,0,2,0,0,0.010,0,0,0.010
120,1,0,2,0,0,0.010,0,0,0.010
121,3,1,3,3,7,0.052,1,0,0.080
122,0,0,1,0,0,0.000,0,0,0.000
123,1,0,2,0,3,0.050,0,0,0.050
124,1,0,2,0,2,0.031,0,0,0.031
125,1,0,2,0,3,0.042,0,0,0.042
126,1,0,2,0,0,0.010,0,0,0.010
127,1,0,2,0,0,0.015,0,0,0.015
128,3,1,3,4,15,0.086,1,0,0.176
129,3,1,3,1,13,0.066,1,0,0.096
130,6,3,2,12,24,0.083,2,1,0.132
131,1,0,2,0,1,0.029,0,0,0.029
132,1,0,2,0,2,0.031,0,0,0.031
133,1,0,2,0,0,0.015,0,0,0.015
134,1,0,2,0,3,0.050,0,0,0.050
135,11,5,7,21,106,0.152,3,1,0.362
136,1,0,2,0,2,0.040,0,0,0.040
137,1,0,2,0,0,0.015,0,0,0.015
138,1,0,2,0,0,0.010,0,0,0.010
139,1,0,2,0,0,0.010,0,0,0.010
140,1,0,2,0,2,0.040,0,0,0.040
141,1,0,2,0,1,0.021,0,0,0.021
142,1,0,2,0,3,0.050,0,0,0.050
143,0,0,1,0,0,0.000,0,0,0.000
144,1,0,2,0,0,0.010,0,0,0.010
145,1,0,2,0,9,0.121,0,0,0.121
146,1,0,2,0,2,0.036,0,0,0.036
147,0,0,1,0,0,0.000,0,0,0.000
148,1,0,2,0,0,0.010,0,0,0.010
149,1,0,2,0,1,0.025,0,0,0.025
150,1,0,2,0,4,0.052,0,0,0.052
151,1,0,2,0,0,0.010,0,0,0.010
152,1,0,2,0,13,0.180,0,0,0.180
153,1,0,2,0,6,0.086,0,0,0.086
154,1,0,2,0,9,0.108,0,0,0.108
155,1,0,2,0,5,0.071,0,0,0.071
156,5,2,4,4,24,0.074,2,0,0.111
157,1,0,2,0,0,0.010,0,0,0.010
158,0,0,1,0,0,0.000,0,0,0.000
159,0,0,1,0,0,0.000,0,0,0.000
160,1,0,2,0,5,0.084,0,0,0.084
161,1,0,2,0,2,0.036,0,0,0.036
162,1,0,2,0,3,0.046,0,0,0.046
