 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,3,0.050,0,0,0.050
2,3,1,3,3,44,0.195,1,0,0.347
3,7,3,4,12,24,0.067,2,1,0.102
4,1,0,2,0,1,0.025,0,0,0.025
5,1,0,2,0,6,0.082,0,0,0.082
6,1,0,2,0,0,0.010,0,0,0.010
7,0,0,1,0,0,0.000,0,0,0.000
8,3,1,3,4,19,0.094,1,0,0.159
9,3,1,3,4,12,0.076,1,0,0.164
10,1,0,2,0,1,0.025,0,0,0.025
11,1,0,2,0,2,0.036,0,0,0.036
12,1,0,2,0,2,0.031,0,0,0.031
13,1,0,2,0,5,0.075,0,0,0.075
14,5,2,4,8,37,0.117,2,0,0.213
15,3,1,3,3,13,0.070,1,0,0.169
16,1,0,2,0,4,0.069,0,0,0.069
17,1,0,2,0,1,0.025,0,0,0.025
18,1,0,2,0,1,0.025,0,0,0.025
19,1,0,2,0,4,0.065,0,0,0.065
20,0,0,1,0,0,0.000,0,0,0.000
21,1,0,2,0,4,0.074,0,0,0.074
22,1,0,2,0,1,0.025,0,0,0.025
23,1,0,2,0,0,0.010,0,0,0.010
24,5,2,4,7,36,0.110,2,0,0.207
25,1,0,2,0,1,0.025,0,0,0.025
26,1,0,2,0,3,0.050,0,0,0.050
27,1,0,2,0,0,0.015,0,0,0.015
28,1,0,2,0,1,0.021,0,0,0.021
29,1,0,2,0,0,0.010,0,0,0.010
30,1,0,2,0,2,0.040,0,0,0.040
31,0,0,1,0,0,0.000,0,0,0.000
32,1,0,2,0,7,0.092,0,0,0.092
33,1,0,2,0,1,0.021,0,0,0.021
34,1,0,2,0,0,0.015,0,0,0.015
35,1,0,2,0,0,0.015,0,0,0.015
36,5,2,4,7,57,0.158,2,0,0.280
37,1,0,2,0,1,0.025,0,0,0.025
38,1,0,2,0,0,0.015,0,0,0.015
39,1,0,2,0,3,0.055,0,0,0.055
