 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,0,0.010,0,0,0.010
2,9,4,6,15,74,0.126,4,0,0.314
3,1,0,2,0,0,0.010,0,0,0.010
4,1,0,2,0,0,0.010,0,0,0.010
5,1,0,2,0,3,0.042,0,0,0.042
6,1,0,2,0,0,0.010,0,0,0.010
7,3,1,3,4,12,0.077,1,0,0.140
8,1,0,2,0,0,0.010,0,0,0.010
9,0,0,1,0,0,0.000,0,0,0.000
10,7,2,6,11,25,0.075,1,0,0.130
11,1,0,2,0,9,0.130,0,0,0.130
12,1,0,2,0,2,0.040,0,0,0.040
13,1,0,2,0,1,0.025,0,0,0.025
14,1,0,2,0,2,0.044,0,0,0.044
15,1,0,2,0,4,0.065,0,0,0.065
16,1,0,2,0,3,0.055,0,0,0.055
17,1,0,2,0,2,0.031,0,0,0.031
18,3,1,3,3,10,0.058,1,0,0.073
19,3,1,3,3,18,0.093,1,0,0.101
20,0,0,1,0,0,0.000,0,0,0.000
21,1,0,2,0,2,0.031,0,0,0.031
22,1,0,2,0,0,0.015,0,0,0.015
23,1,0,2,0,0,0.010,0,0,0.010
24,1,0,2,0,1,0.029,0,0,0.029
25,1,0,2,0,2,0.036,0,0,0.036
26,1,0,2,0,3,0.050,0,0,0.050
27,1,0,2,0,0,0.010,0,0,0.010
28,1,0,2,0,0,0.010,0,0,0.010
29,1,0,2,0,17,0.192,0,0,0.192
30,1,0,2,0,2,0.040,0,0,0.040
31,0,0,1,0,0,0.000,0,0,0.000
32,1,0,2,0,7,0.092,0,0,0.092
33,0,0,1,0,0,0.000,0,0,0.000
34,1,0,2,0,0,0.010,0,0,0.010
35,1,0,2,0,1,0.029,0,0,0.029
36,3,1,3,3,24,0.121,1,0,0.327
37,3,1,2,2,12,0.064,0,1,0.120
38,0,0,1,0,0,0.000,0,0,0.000
39,0,0,1,0,0,0.000,0,0,0.000
40,1,0,2,0,0,0.010,0,0,0.010
41,7,3,3,18,32,0.095,1,2,0.165
42,3,1,3,3,12,0.065,1,0,0.082
43,5,2,4,6,34,0.105,2,0,0.185
44,0,0,1,0,0,0.000,0,0,0.000
45,1,0,2,0,2,0.040,0,0,0.040
46,0,0,1,0,0,0.000,0,0,0.000
47,0,0,1,0,0,0.000,0,0,0.000
48,1,0,2,0,0,0.010,0,0,0.010
49,3,1,3,1,7,0.039,1,0,0.061
50,1,0,2,0,0,0.010,0,0,0.010
51,1,0,2,0,0,0.015,0,0,0.015
52,1,0,2,0,0,0.015,0,0,0.015
53,3,1,3,3,6,0.048,1,0,0.069
54,1,0,2,0,1,0.025,0,0,0.025
55,1,0,2,0,1,0.021,0,0,0.021
56,1,0,2,0,2,0.040,0,0,0.040
57,1,0,2,0,6,0.090,0,0,0.090
58,1,0,2,0,3,0.055,0,0,0.055
59,0,0,1,0,0,0.000,0,0,0.000
60,1,0,2,0,2,0.036,0,0,0.036
61,3,1,3,1,6,0.037,1,0,0.050
62,1,0,2,0,0,0.010,0,0,0.010
63,1,0,2,0,17,0.213,0,0,0.213
64,0,0,1,0,0,0.000,0,0,0.000
65,3,1,3,3,13,0.074,1,0,0.132
66,1,0,2,0,0,0.010,0,0,0.010
67,1,0,2,0,1,0.021,0,0,0.021
68,0,0,1,0,0,0.000,0,0,0.000
69,1,0,2,0,0,0.010,0,0,0.010
70,7,3,5,6,49,0.103,3,0,0.429
71,1,0,2,0,6,0.077,0,0,0.077
72,1,0,2,0,0,0.010,0,0,0.010
73,1,0,2,0,0,0.010,0,0,0.010
74,3,1,3,5,12,0.079,1,0,0.136
75,1,0,2,0,1,0.021,0,0,0.021
76,0,0,1,0,0,0.000,0,0,0.000
77,1,0,2,0,3,0.050,0,0,0.050
78,1,0,2,0,9,0.117,0,0,0.117
79,1,0,2,0,2,0.040,0,0,0.040
80,1,0,2,0,1,0.029,0,0,0.029
81,1,0,2,0,0,0.010,0,0,0.010
82,1,0,2,0,10,0.119,0,0,0.119
83,1,0,2,0,9,0.108,0,0,0.108
84,1,0,2,0,1,0.029,0,0,0.029
85,1,0,2,0,0,0.010,0,0,0.010
86,0,0,1,0,0,0.000,0,0,0.000
87,1,0,2,0,1,0.021,0,0,0.021
88,1,0,2,0,5,0.080,0,0,0.080
89,1,0,2,0,0,0.010,0,0,0.010
90,1,0,2,0,0,0.010,0,0,0.010
91,1,0,2,0,3,0.042,0,0,0.042
92,1,0,2,0,2,0.031,0,0,0.031
93,1,0,2,0,2,0.036,0,0,0.036
94,1,0,2,0,1,0.025,0,0,0.025
95,1,0,2,0,0,0.010,0,0,0.010
96,3,1,3,4,12,0.073,1,0,0.126
97,1,0,2,0,0,0.010,0,0,0.010
98,1,0,2,0,0,0.010,0,0,0.010
99,1,0,2,0,6,0.077,0,0,0.077
100,1,0,2,0,2,0.031,0,0,0.031
101,0,0,1,0,0,0.000,0,0,0.000
102,1,0,2,0,10,0.132,0,0,0.132
103,1,0,2,0,0,0.010,0,0,0.010
104,1,0,2,0,5,0.075,0,0,0.075
105,1,0,2,0,10,0.132,0,0,0.132
106,1,0,2,0,0,0.010,0,0,0.010
107,1,0,2,0,0,0.015,0,0,0.015
108,1,0,2,0,3,0.042,0,0,0.042
109,1,0,2,0,0,0.010,0,0,0.010
110,1,0,2,0,2,0.036,0,0,0.036
111,1,0,2,0,1,0.025,0,0,0.025
112,1,0,2,0,5,0.075,0,0,0.075
113,1,0,2,0,11,0.155,0,0,0.155
114,0,0,1,0,0,0.000,0,0,0.000
115,1,0,2,0,1,0.025,0,0,0.025
116,1,0,2,0,5,0.080,0,0,0.080
117,1,0,2,0,0,0.010,0,0,0.010
118,0,0,1,0,0,0.000,0,0,0.000
119,1,0,2,0,5,0.080,0,0,0.080
120,1,0,2,0,9,0.117,0,0,0.117
121,1,0,2,0,3,0.050,0,0,0.050
122,1,0,2,0,2,0.036,0,0,0.036
123,1,0,2,0,10,0.128,0,0,0.128
124,3,1,3,3,9,0.053,1,0,0.123
125,1,0,2,0,10,0.140,0,0,0.140
126,1,0,2,0,6,0.086,0,0,0.086
127,3,1,3,1,17,0.088,1,0,0.179
128,1,0,2,0,3,0.050,0,0,0.050
129,3,1,3,3,31,0.144,1,0,0.239
130,1,0,2,0,1,0.021,0,0,0.021
131,1,0,2,0,12,0.174,0,0,0.174
132,1,0,2,0,1,0.021,0,0,0.021
133,1,0,2,0,4,0.052,0,0,0.052
134,1,0,2,0,0,0.010,0,0,0.010
135,5,2,4,4,4,0.028,2,0,0.040
136,1,0,2,0,0,0.010,0,0,0.010
137,1,0,2,0,12,0.161,0,0,0.161
138,1,0,2,0,1,0.021,0,0,0.021
139,1,0,2,0,0,0.015,0,0,0.015
140,0,0,1,0,0,0.000,0,0,0.000
141,1,0,2,0,0,0.015,0,0,0.015
142,1,0,2,0,0,0.010,0,0,0.010
143,1,0,2,0,2,0.036,0,0,0.036
144,17,8,6,41,76,0.091,5,2,0.201
145,1,0,2,0,2,0.031,0,0,0.031
146,1,0,2,0,17,0.218,0,0,0.218
147,1,0,2,0,9,0.121,0,0,0.121
148,1,0,2,0,2,0.040,0,0,0.040
149,0,0,1,0,0,0.000,0,0,0.000
150,1,0,2,0,0,0.015,0,0,0.015
151,1,0,2,0,1,0.021,0,0,0.021
152,1,0,2,0,2,0.036,0,0,0.036
153,0,0,1,0,0,0.000,0,0,0.000
154,5,2,4,7,28,0.091,2,0,0.193
155,0,0,1,0,0,0.000,0,0,0.000
156,1,0,2,0,1,0.025,0,0,0.025
157,1,0,2,0,0,0.015,0,0,0.015
158,1,0,2,0,3,0.046,0,0,0.046
159,1,0,2,0,0,0.010,0,0,0.010
160,1,0,2,0,0,0.010,0,0,0.010
161,1,0,2,0,0,0.015,0,0,0.015
162,1,0,2,0,0,0.010,0,0,0.010
163,1,0,2,0,3,0.042,0,0,0.042
164,1,0,2,0,3,0.050,0,0,0.050
165,1,0,2,0,0,0.015,0,0,0.015
166,1,0,2,0,3,0.050,0,0,0.050
167,1,0,2,0,6,0.086,0,0,0.086
168,1,0,2,0,1,0.025,0,0,0.025
169,0,0,1,0,0,0.000,0,0,0.000
170,1,0,2,0,13,0.159,0,0,0.159
171,0,0,1,0,0,0.000,0,0,0.000
172,1,0,2,0,0,0.010,0,0,0.010
173,0,0,1,0,0,0.000,0,0,0.000
174,0,0,1,0,0,0.000,0,0,0.000
175,5,2,4,5,31,0.096,2,0,0.352
176,1,0,2,0,0,0.015,0,0,0.015
177,1,0,2,0,9,0.121,0,0,0.121
178,1,0,2,0,4,0.061,0,0,0.061
179,1,0,2,0,0,0.010,0,0,0.010
180,1,0,2,0,0,0.010,0,0,0.010
181,5,2,4,13,32,0.110,2,0,0.157
182,9,4,6,14,40,0.078,4,0,0.140
183,1,0,2,0,1,0.021,0,0,0.021
184,12,6,6,18,86,0.108,6,0,0.305
185,1,0,2,0,0,0.015,0,0,0.015
186,3,1,3,4,13,0.072,1,0,0.086
187,1,0,2,0,1,0.029,0,0,0.029
188,1,0,2,0,7,0.101,0,0,0.101
189,0,0,1,0,0,0.000,0,0,0.000
190,1,0,2,0,20,0.240,0,0,0.240
191,1,0,2,0,8,0.102,0,0,0.102
192,1,0,2,0,1,0.021,0,0,0.021
193,0,0,1,0,0,0.000,0,0,0.000
194,1,0,2,0,0,0.015,0,0,0.015
195,3,1,3,3,8,0.051,1,0,0.082
196,1,0,2,0,0,0.015,0,0,0.015
197,1,0,2,0,1,0.021,0,0,0.021
198,1,0,2,0,1,0.025,0,0,0.025
199,1,0,2,0,0,0.010,0,0,0.010
200,3,1,3,3,6,0.047,1,0,0.055
201,1,0,2,0,2,0.040,0,0,0.040
202,1,0,2,0,0,0.010,0,0,0.010
203,1,0,2,0,2,0.040,0,0,0.040
204,1,0,2,0,0,0.010,0,0,0.010
205,1,0,2,0,4,0.061,0,0,0.061
206,0,0,1,0,0,0.000,0,0,0.000
207,1,0,2,0,1,0.021,0,0,0.021
208,1,0,2,0,0,0.010,0,0,0.010
209,1,0,2,0,0,0.010,0,0,0.010
210,0,0,1,0,0,0.000,0,0,0.000
211,1,0,2,0,4,0.056,0,0,0.056
212,1,0,2,0,3,0.055,0,0,0.055
213,1,0,2,0,0,0.010,0,0,0.010
214,1,0,2,0,5,0.071,0,0,0.071
215,0,0,1,0,0,0.000,0,0,0.000
216,1,0,2,0,4,0.065,0,0,0.065
217,1,0,2,0,1,0.025,0,0,0.025
218,1,0,2,0,0,0.010,0,0,0.010
219,1,0,2,0,1,0.025,0,0,0.025
220,0,0,1,0,0,0.000,0,0,0.000
221,3,1,3,4,15,0.083,1,0,0.163
222,1,0,2,0,0,0.010,0,0,0.010
223,1,0,2,0,23,0.293,0,0,0.293
224,1,0,2,0,1,0.025,0,0,0.025
225,0,0,1,0,0,0.000,0,0,0.000
226,0,0,1,0,0,0.000,0,0,0.000
227,1,0,2,0,1,0.021,0,0,0.021
228,1,0,2,0,0,0.010,0,0,0.010
229,1,0,2,0,0,0.015,0,0,0.015
230,1,0,2,0,0,0.010,0,0,0.010
231,3,1,3,1,47,0.212,1,0,0.235
232,1,0,2,0,1,0.021,0,0,0.021
233,1,0,2,0,9,0.117,0,0,0.117
234,1,0,2,0,0,0.010,0,0,0.010
235,1,0,2,0,0,0.010,0,0,0.010
236,1,0,2,0,1,0.025,0,0,0.025
237,1,0,2,0,2,0.036,0,0,0.036
238,1,0,2,0,0,0.010,0,0,0.010
239,1,0,2,0,1,0.021,0,0,0.021
240,1,0,2,0,1,0.025,0,0,0.025
241,0,0,1,0,0,0.000,0,0,0.000
242,1,0,2,0,0,0.015,0,0,0.015
243,0,0,1,0,0,0.000,0,0,0.000
244,0,0,1,0,0,0.000,0,0,0.000
245,3,1,3,4,8,0.059,1,0,0.071
246,1,0,2,0,4,0.061,0,0,0.061
247,1,0,2,0,1,0.025,0,0,0.025
248,1,0,2,0,0,0.015,0,0,0.015
249,1,0,2,0,0,0.015,0,0,0.015
250,1,0,2,0,4,0.056,0,0,0.056
251,1,0,2,0,1,0.025,0,0,0.025
252,1,0,2,0,2,0.036,0,0,0.036
253,1,0,2,0,4,0.061,0,0,0.061
254,0,0,1,0,0,0.000,0,0,0.000
255,1,0,2,0,1,0.029,0,0,0.029
256,1,0,2,0,0,0.010,0,0,0.010
257,0,0,1,0,0,0.000,0,0,0.000
258,1,0,2,0,1,0.021,0,0,0.021
259,1,0,2,0,3,0.046,0,0,0.046
260,1,0,2,0,1,0.025,0,0,0.025
261,1,0,2,0,2,0.036,0,0,0.036
262,1,0,2,0,1,0.025,0,0,0.025
263,1,0,2,0,6,0.086,0,0,0.086
264,1,0,2,0,0,0.010,0,0,0.010
265,1,0,2,0,3,0.046,0,0,0.046
266,1,0,2,0,0,0.010,0,0,0.010
267,1,0,2,0,1,0.021,0,0,0.021
268,20,10,9,34,132,0.106,9,1,0.758
269,1,0,2,0,3,0.055,0,0,0.055
270,1,0,2,0,1,0.021,0,0,0.021
271,0,0,1,0,0,0.000,0,0,0.000
272,0,0,1,0,0,0.000,0,0,0.000
273,1,0,2,0,0,0.010,0,0,0.010
274,1,0,2,0,2,0.036,0,0,0.036
275,1,0,2,0,2,0.040,0,0,0.040
276,0,0,1,0,0,0.000,0,0,0.000
277,16,7,7,37,97,0.113,4,2,0.430
278,1,0,2,0,0,0.015,0,0,0.015
279,1,0,2,0,0,0.010,0,0,0.010
280,1,0,2,0,0,0.010,0,0,0.010
281,1,0,2,0,3,0.042,0,0,0.042
282,1,0,2,0,0,0.010,0,0,0.010
283,1,0,2,0,0,0.010,0,0,0.010
284,1,0,2,0,0,0.010,0,0,0.010
285,1,0,2,0,0,0.010,0,0,0.010
286,0,0,1,0,0,0.000,0,0,0.000
287,0,0,1,0,0,0.000,0,0,0.000
288,1,0,2,0,0,0.010,0,0,0.010
289,1,0,2,0,10,0.136,0,0,0.136
290,0,0,1,0,0,0.000,0,0,0.000
291,1,0,2,0,1,0.021,0,0,0.021
292,0,0,1,0,0,0.000,0,0,0.000
293,6,3,3,8,42,0.109,3,0,0.247
294,1,0,2,0,4,0.061,0,0,0.061
295,3,1,3,5,15,0.086,1,0,0.159
296,0,0,1,0,0,0.000,0,0,0.000
297,0,0,1,0,0,0.000,0,0,0.000
298,1,0,2,0,0,0.010,0,0,0.010
299,1,0,2,0,0,0.010,0,0,0.010
300,1,0,2,0,7,0.096,0,0,0.096
301,1,0,2,0,0,0.015,0,0,0.015
302,3,1,3,3,0,0.020,1,0,0.025
303,1,0,2,0,1,0.021,0,0,0.021
304,0,0,1,0,0,0.000,0,0,0.000
305,1,0,2,0,1,0.025,0,0,0.025
306,1,0,2,0,0,0.010,0,0,0.010
307,0,0,1,0,0,0.000,0,0,0.000
308,1,0,2,0,2,0.036,0,0,0.036
309,0,0,1,0,0,0.000,0,0,0.000
310,1,0,2,0,11,0.147,0,0,0.147
311,1,0,2,0,0,0.010,0,0,0.010
312,1,0,2,0,3,0.046,0,0,0.046
313,1,0,2,0,0,0.010,0,0,0.010
314,1,0,2,0,0,0.010,0,0,0.010
315,0,0,1,0,0,0.000,0,0,0.000
316,1,0,2,0,0,0.015,0,0,0.015
317,1,0,2,0,0,0.010,0,0,0.010
318,1,0,2,0,1,0.021,0,0,0.021
319,1,0,2,0,0,0.015,0,0,0.015
320,1,0,2,0,0,0.010,0,0,0.010
321,1,0,2,0,2,0.031,0,0,0.031
322,1,0,2,0,2,0.036,0,0,0.036
323,1,0,2,0,3,0.042,0,0,0.042
324,3,1,2,2,12,0.062,0,1,0.096
325,1,0,2,0,1,0.025,0,0,0.025
326,1,0,2,0,4,0.065,0,0,0.065
327,0,0,1,0,0,0.000,0,0,0.000
328,1,0,2,0,0,0.010,0,0,0.010
329,1,0,2,0,1,0.025,0,0,0.025
330,1,0,2,0,0,0.015,0,0,0.015
331,1,0,2,0,2,0.031,0,0,0.031
332,1,0,2,0,0,0.010,0,0,0.010
333,1,0,2,0,0,0.010,0,0,0.010
334,3,1,3,1,2,0.027,1,0,0.025
335,0,0,1,0,0,0.000,0,0,0.000
336,1,0,2,0,8,0.102,0,0,0.102
337,1,0,2,0,1,0.021,0,0,0.021
338,1,0,2,0,2,0.040,0,0,0.040
339,1,0,2,0,0,0.010,0,0,0.010
340,0,0,1,0,0,0.000,0,0,0.000
341,1,0,2,0,1,0.021,0,0,0.021
342,0,0,1,0,0,0.000,0,0,0.000
343,1,0,2,0,6,0.090,0,0,0.090
344,1,0,2,0,1,0.025,0,0,0.025
345,1,0,2,0,1,0.025,0,0,0.025
346,0,0,1,0,0,0.000,0,0,0.000
347,1,0,2,0,8,0.107,0,0,0.107
348,1,0,2,0,1,0.021,0,0,0.021
349,5,2,4,5,18,0.060,2,0,0.090
350,1,0,2,0,2,0.040,0,0,0.040
351,1,0,2,0,0,0.010,0,0,0.010
352,1,0,2,0,0,0.010,0,0,0.010
353,1,0,2,0,7,0.096,0,0,0.096
354,1,0,2,0,0,0.015,0,0,0.015
355,1,0,2,0,3,0.042,0,0,0.042
356,0,0,1,0,0,0.000,0,0,0.000
357,0,0,1,0,0,0.000,0,0,0.000
358,1,0,2,0,5,0.075,0,0,0.075
359,0,0,1,0,0,0.000,0,0,0.000
360,1,0,2,0,1,0.029,0,0,0.029
361,0,0,1,0,0,0.000,0,0,0.000
362,1,0,2,0,0,0.010,0,0,0.010
363,3,1,3,3,17,0.091,1,0,0.197
364,1,0,2,0,3,0.042,0,0,0.042
365,1,0,2,0,3,0.059,0,0,0.059
366,1,0,2,0,1,0.025,0,0,0.025
367,0,0,1,0,0,0.000,0,0,0.000
368,1,0,2,0,2,0.040,0,0,0.040
369,1,0,2,0,11,0.147,0,0,0.147
370,0,0,1,0,0,0.000,0,0,0.000
371,1,0,2,0,0,0.010,0,0,0.010
372,1,0,2,0,3,0.042,0,0,0.042
373,1,0,2,0,0,0.010,0,0,0.010
374,1,0,2,0,7,0.109,0,0,0.109
375,7,3,5,7,62,0.129,3,0,0.239
376,1,0,2,0,1,0.021,0,0,0.021
377,1,0,2,0,5,0.071,0,0,0.071
378,1,0,2,0,0,0.010,0,0,0.010
379,1,0,2,0,2,0.031,0,0,0.031
380,3,1,3,3,13,0.074,1,0,0.121
381,25,12,11,42,136,0.094,10,1,0.251
382,1,0,2,0,4,0.061,0,0,0.061
383,0,0,1,0,0,0.000,0,0,0.000
384,1,0,2,0,0,0.010,0,0,0.010
385,1,0,2,0,4,0.056,0,0,0.056
386,0,0,1,0,0,0.000,0,0,0.000
387,1,0,2,0,2,0.036,0,0,0.036
388,0,0,1,0,0,0.000,0,0,0.000
389,0,0,1,0,0,0.000,0,0,0.000
390,1,0,2,0,0,0.010,0,0,0.010
391,1,0,2,0,0,0.010,0,0,0.010
392,1,0,2,0,1,0.025,0,0,0.025
393,1,0,2,0,1,0.025,0,0,0.025
394,1,0,2,0,6,0.086,0,0,0.086
395,1,0,2,0,0,0.010,0,0,0.010
396,1,0,2,0,1,0.021,0,0,0.021
397,1,0,2,0,3,0.050,0,0,0.050
398,1,0,2,0,7,0.101,0,0,0.101
399,1,0,2,0,8,0.120,0,0,0.120
400,1,0,2,0,6,0.082,0,0,0.082
401,1,0,2,0,4,0.056,0,0,0.056
402,0,0,1,0,0,0.000,0,0,0.000
403,1,0,2,0,0,0.010,0,0,0.010
404,1,0,2,0,0,0.015,0,0,0.015
405,0,0,1,0,0,0.000,0,0,0.000
406,1,0,2,0,0,0.010,0,0,0.010
407,1,0,2,0,13,0.172,0,0,0.172
408,1,0,2,0,19,0.256,0,0,0.256
409,1,0,2,0,0,0.010,0,0,0.010
410,1,0,2,0,2,0.031,0,0,0.031
411,1,0,2,0,0,0.015,0,0,0.015
412,1,0,2,0,0,0.015,0,0,0.015
413,1,0,2,0,2,0.040,0,0,0.040
414,1,0,2,0,11,0.142,0,0,0.142
415,1,0,2,0,14,0.174,0,0,0.174
416,1,0,2,0,0,0.015,0,0,0.015
417,0,0,1,0,0,0.000,0,0,0.000
418,1,0,2,0,5,0.080,0,0,0.080
419,1,0,2,0,0,0.015,0,0,0.015
420,1,0,2,0,2,0.036,0,0,0.036
421,1,0,2,0,0,0.010,0,0,0.010
422,0,0,1,0,0,0.000,0,0,0.000
423,1,0,2,0,2,0.036,0,0,0.036
424,0,0,1,0,0,0.000,0,0,0.000
425,1,0,2,0,0,0.010,0,0,0.010
426,1,0,2,0,0,0.010,0,0,0.010
427,1,0,2,0,0,0.015,0,0,0.015
428,0,0,1,0,0,0.000,0,0,0.000
429,1,0,2,0,3,0.055,0,0,0.055
430,0,0,1,0,0,0.000,0,0,0.000
431,1,0,2,0,1,0.025,0,0,0.025
432,1,0,2,0,0,0.015,0,0,0.015
433,1,0,2,0,3,0.050,0,0,0.050
434,1,0,2,0,3,0.046,0,0,0.046
435,1,0,2,0,3,0.055,0,0,0.055
436,0,0,1,0,0,0.000,0,0,0.000
437,1,0,2,0,1,0.021,0,0,0.021
438,1,0,2,0,2,0.040,0,0,0.040
439,1,0,2,0,2,0.036,0,0,0.036
440,0,0,1,0,0,0.000,0,0,0.000
441,1,0,2,0,5,0.067,0,0,0.067
442,1,0,2,0,2,0.036,0,0,0.036
443,1,0,2,0,1,0.021,0,0,0.021
444,1,0,2,0,1,0.025,0,0,0.025
445,1,0,2,0,6,0.086,0,0,0.086
446,1,0,2,0,0,0.010,0,0,0.010
447,1,0,2,0,1,0.025,0,0,0.025
448,1,0,2,0,3,0.055,0,0,0.055
449,1,0,2,0,2,0.036,0,0,0.036
450,1,0,2,0,1,0.025,0,0,0.025
451,1,0,2,0,0,0.015,0,0,0.015
452,0,0,1,0,0,0.000,0,0,0.000
453,1,0,2,0,0,0.010,0,0,0.010
454,1,0,2,0,2,0.036,0,0,0.036
455,1,0,2,0,2,0.040,0,0,0.040
456,1,0,2,0,0,0.010,0,0,0.010
457,1,0,2,0,3,0.046,0,0,0.046
458,1,0,2,0,3,0.055,0,0,0.055
459,0,0,1,0,0,0.000,0,0,0.000
460,0,0,1,0,0,0.000,0,0,0.000
461,1,0,2,0,2,0.036,0,0,0.036
462,1,0,2,0,13,0.172,0,0,0.172
463,1,0,2,0,1,0.025,0,0,0.025
464,1,0,2,0,6,0.090,0,0,0.090
465,1,0,2,0,0,0.010,0,0,0.010
466,0,0,1,0,0,0.000,0,0,0.000
467,0,0,1,0,0,0.000,0,0,0.000
468,1,0,2,0,0,0.015,0,0,0.015
469,1,0,2,0,17,0.209,0,0,0.209
470,1,0,2,0,1,0.025,0,0,0.025
471,1,0,2,0,0,0.010,0,0,0.010
472,1,0,2,0,4,0.061,0,0,0.061
473,0,0,1,0,0,0.000,0,0,0.000
474,0,0,1,0,0,0.000,0,0,0.000
475,1,0,2,0,7,0.096,0,0,0.096
476,0,0,1,0,0,0.000,0,0,0.000
477,1,0,2,0,2,0.031,0,0,0.031
478,1,0,2,0,0,0.010,0,0,0.010
479,1,0,2,0,3,0.046,0,0,0.046
480,1,0,2,0,0,0.010,0,0,0.010
481,0,0,1,0,0,0.000,0,0,0.000
482,1,0,2,0,7,0.114,0,0,0.114
483,1,0,2,0,0,0.010,0,0,0.010
484,1,0,2,0,9,0.121,0,0,0.121
485,1,0,2,0,11,0.138,0,0,0.138
486,1,0,2,0,0,0.010,0,0,0.010
487,1,0,2,0,4,0.069,0,0,0.069
488,1,0,2,0,0,0.010,0,0,0.010
489,1,0,2,0,2,0.031,0,0,0.031
490,1,0,2,0,0,0.010,0,0,0.010
491,1,0,2,0,0,0.015,0,0,0.015
492,1,0,2,0,1,0.025,0,0,0.025
493,1,0,2,0,3,0.050,0,0,0.050
494,1,0,2,0,3,0.046,0,0,0.046
495,1,0,2,0,0,0.010,0,0,0.010
496,1,0,2,0,24,0.286,0,0,0.286
497,0,0,1,0,0,0.000,0,0,0.000
498,1,0,2,0,3,0.046,0,0,0.046
499,0,0,1,0,0,0.000,0,0,0.000
500,1,0,2,0,2,0.036,0,0,0.036
501,1,0,2,0,2,0.040,0,0,0.040
502,1,0,2,0,1,0.021,0,0,0.021
503,1,0,2,0,6,0.082,0,0,0.082
504,1,0,2,0,7,0.101,0,0,0.101
505,1,0,2,0,0,0.010,0,0,0.010
506,1,0,2,0,0,0.015,0,0,0.015
507,1,0,2,0,6,0.099,0,0,0.099
508,1,0,2,0,2,0.040,0,0,0.040
509,1,0,2,0,1,0.029,0,0,0.029
510,1,0,2,0,1,0.025,0,0,0.025
511,1,0,2,0,6,0.090,0,0,0.090
512,1,0,2,0,3,0.050,0,0,0.050
513,10,4,6,15,61,0.102,2,2,0.272
514,1,0,2,0,0,0.010,0,0,0.010
515,1,0,2,0,1,0.025,0,0,0.025
516,1,0,2,0,2,0.036,0,0,0.036
517,1,0,2,0,3,0.050,0,0,0.050
518,1,0,2,0,2,0.036,0,0,0.036
519,1,0,2,0,1,0.021,0,0,0.021
520,1,0,2,0,4,0.065,0,0,0.065
521,1,0,2,0,1,0.021,0,0,0.021
522,0,0,1,0,0,0.000,0,0,0.000
523,0,0,1,0,0,0.000,0,0,0.000
524,0,0,1,0,0,0.000,0,0,0.000
525,1,0,2,0,5,0.071,0,0,0.071
526,1,0,2,0,0,0.010,0,0,0.010
527,0,0,1,0,0,0.000,0,0,0.000
528,1,0,2,0,2,0.036,0,0,0.036
529,1,0,2,0,0,0.015,0,0,0.015
530,0,0,1,0,0,0.000,0,0,0.000
531,1,0,2,0,1,0.021,0,0,0.021
532,1,0,2,0,14,0.186,0,0,0.186
533,1,0,2,0,1,0.025,0,0,0.025
534,7,3,5,12,36,0.092,3,0,0.160
535,1,0,2,0,1,0.021,0,0,0.021
536,1,0,2,0,14,0.191,0,0,0.191
537,1,0,2,0,2,0.031,0,0,0.031
538,1,0,2,0,0,0.010,0,0,0.010
539,1,0,2,0,0,0.015,0,0,0.015
540,1,0,2,0,1,0.021,0,0,0.021
541,0,0,1,0,0,0.000,0,0,0.000
542,1,0,2,0,3,0.042,0,0,0.042
543,1,0,2,0,0,0.015,0,0,0.015
544,1,0,2,0,0,0.010,0,0,0.010
545,1,0,2,0,1,0.021,0,0,0.021
546,1,0,2,0,3,0.050,0,0,0.050
547,1,0,2,0,8,0.107,0,0,0.107
548,1,0,2,0,4,0.065,0,0,0.065
549,1,0,2,0,1,0.021,0,0,0.021
550,1,0,2,0,14,0.178,0,0,0.178
551,1,0,2,0,1,0.025,0,0,0.025
552,1,0,2,0,0,0.010,0,0,0.010
553,0,0,1,0,0,0.000,0,0,0.000
554,1,0,2,0,2,0.036,0,0,0.036
555,1,0,2,0,0,0.015,0,0,0.015
556,1,0,2,0,3,0.050,0,0,0.050
