 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,2,0.040,0,0,0.040
2,1,0,2,0,4,0.065,0,0,0.065
3,0,0,1,0,0,0.000,0,0,0.000
4,1,0,2,0,2,0.044,0,0,0.044
5,1,0,2,0,5,0.071,0,0,0.071
6,1,0,2,0,2,0.036,0,0,0.036
7,1,0,2,0,3,0.050,0,0,0.050
8,1,0,2,0,0,0.010,0,0,0.010
9,1,0,2,0,3,0.050,0,0,0.050
10,18,9,8,41,70,0.079,8,1,0.191
11,0,0,1,0,0,0.000,0,0,0.000
12,0,0,1,0,0,0.000,0,0,0.000
13,1,0,2,0,2,0.036,0,0,0.036
14,1,0,2,0,2,0.036,0,0,0.036
15,3,1,3,3,8,0.049,1,0,0.071
16,1,0,2,0,0,0.010,0,0,0.010
17,1,0,2,0,5,0.071,0,0,0.071
18,1,0,2,0,4,0.056,0,0,0.056
19,1,0,2,0,0,0.010,0,0,0.010
20,1,0,2,0,1,0.029,0,0,0.029
21,1,0,2,0,0,0.010,0,0,0.010
22,9,4,5,19,67,0.121,3,1,0.350
23,0,0,1,0,0,0.000,0,0,0.000
24,1,0,2,0,2,0.036,0,0,0.036
25,1,0,2,0,0,0.010,0,0,0.010
26,0,0,1,0,0,0.000,0,0,0.000
27,1,0,2,0,1,0.021,0,0,0.021
28,1,0,2,0,4,0.069,0,0,0.069
29,0,0,1,0,0,0.000,0,0,0.000
30,1,0,2,0,1,0.029,0,0,0.029
31,1,0,2,0,0,0.010,0,0,0.010
32,1,0,2,0,1,0.025,0,0,0.025
33,1,0,2,0,4,0.061,0,0,0.061
34,1,0,2,0,0,0.015,0,0,0.015
35,1,0,2,0,0,0.010,0,0,0.010
36,0,0,1,0,0,0.000,0,0,0.000
37,1,0,2,0,9,0.121,0,0,0.121
38,3,1,3,1,27,0.129,1,0,0.266
39,1,0,2,0,2,0.031,0,0,0.031
40,1,0,2,0,0,0.010,0,0,0.010
41,3,1,3,1,2,0.034,1,0,0.044
42,1,0,2,0,0,0.010,0,0,0.010
43,1,0,2,0,0,0.010,0,0,0.010
44,1,0,2,0,1,0.025,0,0,0.025
45,1,0,2,0,6,0.077,0,0,0.077
46,1,0,2,0,5,0.071,0,0,0.071
47,0,0,1,0,0,0.000,0,0,0.000
48,1,0,2,0,0,0.010,0,0,0.010
49,1,0,2,0,4,0.052,0,0,0.052
50,1,0,2,0,2,0.040,0,0,0.040
