 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,3,0.055,0,0,0.055
2,1,0,2,0,17,0.205,0,0,0.205
3,1,0,2,0,1,0.021,0,0,0.021
4,1,0,2,0,9,0.121,0,0,0.121
5,1,0,2,0,3,0.046,0,0,0.046
6,1,0,2,0,6,0.094,0,0,0.094
7,1,0,2,0,11,0.147,0,0,0.147
8,1,0,2,0,5,0.075,0,0,0.075
9,1,0,2,0,0,0.010,0,0,0.010
10,1,0,2,0,15,0.197,0,0,0.197
11,1,0,2,0,3,0.042,0,0,0.042
12,3,1,3,3,6,0.048,1,0,0.101
13,1,0,2,0,0,0.010,0,0,0.010
14,3,1,3,3,7,0.050,1,0,0.115
15,1,0,2,0,0,0.015,0,0,0.015
16,0,0,1,0,0,0.000,0,0,0.000
17,1,0,2,0,5,0.067,0,0,0.067
18,1,0,2,0,14,0.182,0,0,0.182
19,1,0,2,0,4,0.065,0,0,0.065
20,1,0,2,0,2,0.031,0,0,0.031
21,1,0,2,0,0,0.015,0,0,0.015
22,1,0,2,0,14,0.174,0,0,0.174
23,1,0,2,0,1,0.025,0,0,0.025
24,1,0,2,0,5,0.075,0,0,0.075
25,1,0,2,0,3,0.050,0,0,0.050
26,1,0,2,0,0,0.015,0,0,0.015
27,3,1,3,4,1,0.027,1,0,0.036
28,3,1,3,4,41,0.182,1,0,0.303
29,1,0,2,0,0,0.010,0,0,0.010
30,1,0,2,0,0,0.010,0,0,0.010
31,1,0,2,0,0,0.010,0,0,0.010
32,7,3,5,7,66,0.138,3,0,0.248
33,1,0,2,0,1,0.021,0,0,0.021
34,1,0,2,0,0,0.015,0,0,0.015
35,1,0,2,0,3,0.055,0,0,0.055
36,0,0,1,0,0,0.000,0,0,0.000
37,3,1,3,3,10,0.062,1,0,0.082
38,8,3,4,17,29,0.081,1,1,0.118
39,1,0,2,0,0,0.010,0,0,0.010
40,1,0,2,0,8,0.120,0,0,0.120
41,1,0,2,0,3,0.046,0,0,0.046
42,5,2,4,6,25,0.088,2,0,0.153
43,1,0,2,0,0,0.010,0,0,0.010
44,1,0,2,0,2,0.036,0,0,0.036
45,1,0,2,0,2,0.040,0,0,0.040
46,1,0,2,0,13,0.172,0,0,0.172
47,1,0,2,0,0,0.015,0,0,0.015
48,1,0,2,0,4,0.056,0,0,0.056
49,1,0,2,0,4,0.065,0,0,0.065
50,0,0,1,0,0,0.000,0,0,0.000
51,1,0,2,0,2,0.036,0,0,0.036
52,0,0,1,0,0,0.000,0,0,0.000
53,1,0,2,0,1,0.025,0,0,0.025
54,1,0,2,0,3,0.046,0,0,0.046
55,1,0,2,0,0,0.015,0,0,0.015
56,1,0,2,0,6,0.082,0,0,0.082
57,1,0,2,0,3,0.055,0,0,0.055
58,1,0,2,0,0,0.010,0,0,0.010
59,1,0,2,0,8,0.098,0,0,0.098
60,1,0,2,0,1,0.021,0,0,0.021
61,0,0,1,0,0,0.000,0,0,0.000
62,1,0,2,0,2,0.031,0,0,0.031
63,1,0,2,0,1,0.025,0,0,0.025
64,1,0,2,0,2,0.036,0,0,0.036
65,1,0,2,0,0,0.010,0,0,0.010
66,1,0,2,0,6,0.077,0,0,0.077
67,1,0,2,0,2,0.040,0,0,0.040
68,0,0,1,0,0,0.000,0,0,0.000
69,1,0,2,0,3,0.050,0,0,0.050
70,1,0,2,0,17,0.213,0,0,0.213
