 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,3,0.050,0,0,0.050
2,1,0,2,0,0,0.010,0,0,0.010
3,1,0,2,0,0,0.010,0,0,0.010
4,1,0,2,0,14,0.178,0,0,0.178
5,1,0,2,0,2,0.031,0,0,0.031
6,1,0,2,0,5,0.075,0,0,0.075
7,0,0,1,0,0,0.000,0,0,0.000
8,0,0,1,0,0,0.000,0,0,0.000
9,1,0,2,0,0,0.010,0,0,0.010
10,1,0,2,0,0,0.015,0,0,0.015
11,0,0,1,0,0,0.000,0,0,0.000
12,1,0,2,0,6,0.073,0,0,0.073
13,1,0,2,0,4,0.065,0,0,0.065
14,12,5,8,19,111,0.141,4,1,0.337
15,1,0,2,0,3,0.046,0,0,0.046
16,0,0,1,0,0,0.000,0,0,0.000
17,1,0,2,0,3,0.046,0,0,0.046
18,1,0,2,0,0,0.010,0,0,0.010
19,1,0,2,0,1,0.021,0,0,0.021
20,1,0,2,0,2,0.036,0,0,0.036
21,1,0,2,0,3,0.050,0,0,0.050
22,1,0,2,0,0,0.010,0,0,0.010
23,1,0,2,0,1,0.025,0,0,0.025
24,0,0,1,0,0,0.000,0,0,0.000
25,1,0,2,0,6,0.086,0,0,0.086
26,1,0,2,0,0,0.010,0,0,0.010
27,0,0,1,0,0,0.000,0,0,0.000
28,1,0,2,0,2,0.031,0,0,0.031
29,0,0,1,0,0,0.000,0,0,0.000
30,1,0,2,0,10,0.140,0,0,0.140
31,3,1,3,1,68,0.285,1,0,0.335
32,0,0,1,0,0,0.000,0,0,0.000
33,1,0,2,0,3,0.046,0,0,0.046
34,0,0,1,0,0,0.000,0,0,0.000
35,1,0,2,0,4,0.056,0,0,0.056
36,3,1,3,4,14,0.073,1,0,0.144
37,1,0,2,0,0,0.010,0,0,0.010
38,1,0,2,0,4,0.061,0,0,0.061
39,3,1,3,4,8,0.062,1,0,0.099
40,1,0,2,0,7,0.096,0,0,0.096
41,1,0,2,0,0,0.010,0,0,0.010
42,1,0,2,0,0,0.010,0,0,0.010
43,0,0,1,0,0,0.000,0,0,0.000
44,1,0,2,0,14,0.178,0,0,0.178
45,0,0,1,0,0,0.000,0,0,0.000
46,0,0,1,0,0,0.000,0,0,0.000
47,3,1,3,3,43,0.191,1,0,0.353
48,1,0,2,0,14,0.178,0,0,0.178
49,3,1,3,4,18,0.097,1,0,0.140
50,1,0,2,0,1,0.025,0,0,0.025
51,1,0,2,0,0,0.010,0,0,0.010
52,1,0,2,0,1,0.021,0,0,0.021
53,1,0,2,0,4,0.052,0,0,0.052
54,2,1,1,3,28,0.180,1,0,0.245
55,1,0,2,0,1,0.029,0,0,0.029
56,1,0,2,0,2,0.036,0,0,0.036
57,0,0,1,0,0,0.000,0,0,0.000
58,0,0,1,0,0,0.000,0,0,0.000
59,0,0,1,0,0,0.000,0,0,0.000
60,1,0,2,0,0,0.010,0,0,0.010
61,1,0,2,0,1,0.025,0,0,0.025
62,1,0,2,0,11,0.142,0,0,0.142
63,1,0,2,0,19,0.234,0,0,0.234
64,8,3,6,9,77,0.141,2,1,0.215
65,1,0,2,0,4,0.056,0,0,0.056
66,0,0,1,0,0,0.000,0,0,0.000
67,1,0,2,0,11,0.147,0,0,0.147
68,0,0,1,0,0,0.000,0,0,0.000
69,1,0,2,0,15,0.188,0,0,0.188
70,1,0,2,0,4,0.065,0,0,0.065
71,0,0,1,0,0,0.000,0,0,0.000
72,1,0,2,0,1,0.025,0,0,0.025
73,7,3,4,13,114,0.221,2,1,0.460
74,1,0,2,0,7,0.092,0,0,0.092
75,0,0,1,0,0,0.000,0,0,0.000
76,1,0,2,0,5,0.071,0,0,0.071
77,1,0,2,0,1,0.025,0,0,0.025
78,1,0,2,0,4,0.074,0,0,0.074
79,1,0,2,0,0,0.015,0,0,0.015
80,1,0,2,0,0,0.010,0,0,0.010
