filename,cellCount,branchSum,junctionSum,endpointSum,avgbranchSum,branchSumCell,junctionSumCell,endpointSumCell,avgbranchSumCell
6_LeftCA1_1,57,1403,669,651,5.841000000000003,24.614035087719298,11.736842105263158,11.421052631578947,0.10247368421052637
6_LeftCA1_2,48,1084,506,530,5.224000000000001,22.583333333333332,10.541666666666666,11.041666666666666,0.10883333333333335
6_LeftCA1_3,38,591,277,301,4.148,15.552631578947368,7.2894736842105265,7.921052631578948,0.10915789473684209
6_LeftCA3_1,37,384,169,229,3.7900000000000005,10.378378378378379,4.5675675675675675,6.1891891891891895,0.10243243243243244
6_LeftCA3_2,42,496,220,285,4.139000000000001,11.80952380952381,5.238095238095238,6.785714285714286,0.09854761904761908
6_LeftCA3_3,30,258,114,152,3.032,8.6,3.8,5.066666666666666,0.10106666666666667
6_LeftDG_1a,81,1274,589,646,7.8100000000000005,15.728395061728396,7.271604938271605,7.9753086419753085,0.09641975308641976
6_LeftDG_1b,37,538,245,278,3.9929999999999994,14.54054054054054,6.621621621621622,7.513513513513513,0.1079189189189189
6_LeftDG_2a,54,709,322,372,5.293000000000002,13.12962962962963,5.962962962962963,6.888888888888889,0.09801851851851856
6_LeftDG_2b,24,201,88,121,1.8230000000000002,8.375,3.6666666666666665,5.041666666666667,0.07595833333333334
6_LeftDG_3a,57,631,287,339,5.845,11.070175438596491,5.035087719298246,5.947368421052632,0.1025438596491228
6_LeftDG_3b,28,161,64,114,2.862,5.75,2.2857142857142856,4.071428571428571,0.10221428571428572
6_RightCA1_1,47,807,381,380,4.831999999999999,17.170212765957448,8.106382978723405,8.085106382978724,0.10280851063829785
6_RightCA1_2,45,715,328,368,5.080000000000001,15.88888888888889,7.288888888888889,8.177777777777777,0.11288888888888891
6_RightCA1_3,42,481,217,267,4.194000000000001,11.452380952380953,5.166666666666667,6.357142857142857,0.09985714285714288
6_RightCA3_1,33,482,219,254,3.5290000000000012,14.606060606060606,6.636363636363637,7.696969696969697,0.10693939393939397
6_RightCA3_2,28,222,95,133,2.5489999999999995,7.928571428571429,3.392857142857143,4.75,0.09103571428571426
6_RightCA3_3,30,206,90,129,2.882,6.866666666666666,3.0,4.3,0.09606666666666668
6_RightDG_1a,63,787,354,432,6.011000000000003,12.492063492063492,5.619047619047619,6.857142857142857,0.09541269841269846
6_RightDG_1b,25,286,129,154,2.7190000000000003,11.44,5.16,6.16,0.10876000000000001
6_RightDG_2a,65,709,321,385,6.201999999999999,10.907692307692308,4.938461538461539,5.923076923076923,0.0954153846153846
6_RightDG_2b,26,232,102,138,2.542,8.923076923076923,3.923076923076923,5.3076923076923075,0.09776923076923076
6_RightDG_3a,48,510,236,270,4.700000000000003,10.625,4.916666666666667,5.625,0.09791666666666672
6_RightDG_3b,24,210,93,125,2.426,8.75,3.875,5.208333333333333,0.10108333333333334
8_LeftCA1_1,40,557,262,267,4.099000000000001,13.925,6.55,6.675,0.10247500000000002
8_LeftCA1_2,43,614,281,322,5.154000000000002,14.279069767441861,6.534883720930233,7.488372093023256,0.11986046511627911
8_LeftCA1_3,42,546,249,295,4.447000000000001,13.0,5.928571428571429,7.023809523809524,0.10588095238095241
8_LeftCA3_1,31,323,152,177,3.622,10.419354838709678,4.903225806451613,5.709677419354839,0.11683870967741936
8_LeftCA3_2,33,464,218,242,3.7820000000000005,14.06060606060606,6.606060606060606,7.333333333333333,0.11460606060606061
8_LeftCA3_3,31,381,177,196,3.6189999999999998,12.290322580645162,5.709677419354839,6.32258064516129,0.11674193548387096
8_LeftDG_1a,41,519,235,286,4.241,12.658536585365853,5.7317073170731705,6.975609756097561,0.1034390243902439
8_LeftDG_1b,27,243,109,134,2.745000000000001,9.0,4.037037037037037,4.962962962962963,0.1016666666666667
8_LeftDG_2a,42,510,230,286,4.688000000000001,12.142857142857142,5.476190476190476,6.809523809523809,0.11161904761904763
8_LeftDG_2b,23,293,134,147,2.738,12.73913043478261,5.826086956521739,6.391304347826087,0.11904347826086957
8_LeftDG_3a,42,759,357,373,4.395,18.071428571428573,8.5,8.880952380952381,0.10464285714285713
8_LeftDG_3b,32,452,207,246,3.314,14.125,6.46875,7.6875,0.1035625
8_RightCA1_1,46,850,392,452,5.357999999999999,18.47826086956522,8.521739130434783,9.826086956521738,0.11647826086956518
8_RightCA1_2,40,429,192,246,4.786999999999999,10.725,4.8,6.15,0.11967499999999998
8_RightCA1_3,39,1191,574,543,4.321999999999999,30.53846153846154,14.717948717948717,13.923076923076923,0.11082051282051279
8_RightCA3_1,37,824,389,410,4.2940000000000005,22.27027027027027,10.513513513513514,11.08108108108108,0.11605405405405407
8_RightCA3_2,37,580,264,316,3.902,15.675675675675675,7.135135135135135,8.54054054054054,0.10545945945945946
8_RightCA3_3,34,401,183,219,3.4850000000000003,11.794117647058824,5.382352941176471,6.4411764705882355,0.10250000000000001
8_RightDG_1a,52,776,363,379,5.441000000000001,14.923076923076923,6.980769230769231,7.288461538461538,0.1046346153846154
8_RightDG_1b,29,411,190,218,3.303,14.172413793103448,6.551724137931035,7.517241379310345,0.11389655172413793
8_RightDG_2a,43,796,366,427,4.489000000000002,18.511627906976745,8.511627906976743,9.930232558139535,0.10439534883720934
8_RightDG_2b,26,314,143,173,2.6710000000000003,12.076923076923077,5.5,6.653846153846154,0.10273076923076924
8_RightDG_3a,48,622,286,329,4.711000000000002,12.958333333333334,5.958333333333333,6.854166666666667,0.09814583333333338
8_RightDG_3b,24,375,177,180,2.6410000000000005,15.625,7.375,7.5,0.11004166666666669
9_LeftCA1_1,37,415,189,229,4.299,11.216216216216216,5.108108108108108,6.1891891891891895,0.1161891891891892
9_LeftCA1_2,36,390,183,210,4.403999999999999,10.833333333333334,5.083333333333333,5.833333333333333,0.12233333333333331
9_LeftCA1_3,38,420,190,225,4.112,11.052631578947368,5.0,5.921052631578948,0.10821052631578948
9_LeftCA3_1,27,363,170,188,3.166,13.444444444444445,6.296296296296297,6.962962962962963,0.11725925925925926
9_LeftCA3_2,25,311,141,172,2.763,12.44,5.64,6.88,0.11052
9_LeftCA3_3,29,316,143,175,3.3820000000000006,10.89655172413793,4.931034482758621,6.0344827586206895,0.11662068965517243
9_LeftDG_1a,40,432,199,235,4.1049999999999995,10.8,4.975,5.875,0.102625
9_LeftDG_1b,22,174,78,99,2.677,7.909090909090909,3.5454545454545454,4.5,0.12168181818181818
9_LeftDG_2a,66,568,259,321,6.912000000000003,8.606060606060606,3.9242424242424243,4.863636363636363,0.10472727272727277
9_LeftDG_2b,31,253,110,154,3.118000000000001,8.161290322580646,3.5483870967741935,4.967741935483871,0.10058064516129037
9_LeftDG_3a,43,567,261,279,4.381999999999999,13.186046511627907,6.069767441860465,6.488372093023256,0.10190697674418601
9_LeftDG_3b,24,208,99,110,2.782,8.666666666666666,4.125,4.583333333333333,0.11591666666666667
9_RightCA1_1,36,412,191,221,4.146999999999999,11.444444444444445,5.305555555555555,6.138888888888889,0.11519444444444443
9_RightCA1_2,44,732,343,361,4.929,16.636363636363637,7.795454545454546,8.204545454545455,0.11202272727272727
9_RightCA1_3,32,395,184,202,3.6320000000000006,12.34375,5.75,6.3125,0.11350000000000002
9_RightCA3_1,27,182,78,114,3.4770000000000008,6.7407407407407405,2.888888888888889,4.222222222222222,0.1287777777777778
9_RightCA3_2,35,274,118,168,3.9490000000000003,7.828571428571428,3.3714285714285714,4.8,0.11282857142857143
9_RightCA3_3,26,197,89,112,2.715,7.576923076923077,3.423076923076923,4.3076923076923075,0.10442307692307692
9_RightDG_1a,45,403,179,230,4.902,8.955555555555556,3.977777777777778,5.111111111111111,0.10893333333333334
9_RightDG_1b,22,184,79,113,2.496,8.363636363636363,3.590909090909091,5.136363636363637,0.11345454545454546
9_RightDG_2a,67,541,239,318,6.963000000000004,8.074626865671641,3.5671641791044775,4.746268656716418,0.10392537313432841
9_RightDG_2b,35,340,154,190,3.6480000000000006,9.714285714285714,4.4,5.428571428571429,0.10422857142857145
9_RightDG_3a,53,507,232,272,5.543000000000003,9.566037735849056,4.377358490566038,5.132075471698113,0.10458490566037741
9_RightDG_3b,25,234,106,127,2.581,9.36,4.24,5.08,0.10324
11_LeftCA1_1,41,638,303,327,4.594,15.560975609756097,7.390243902439025,7.975609756097561,0.11204878048780488
11_LeftCA1_2,59,520,238,288,6.424,8.813559322033898,4.033898305084746,4.88135593220339,0.1088813559322034
11_LeftCA1_3,55,696,319,380,5.842000000000001,12.654545454545454,5.8,6.909090909090909,0.10621818181818185
11_LeftCA3_1,41,461,208,261,5.016000000000001,11.24390243902439,5.073170731707317,6.365853658536586,0.12234146341463417
11_LeftCA3_2,44,346,156,204,5.166,7.863636363636363,3.5454545454545454,4.636363636363637,0.11740909090909092
11_LeftCA3_3,45,546,260,276,5.059000000000002,12.133333333333333,5.777777777777778,6.133333333333334,0.11242222222222227
11_LeftDG_1a,51,652,301,358,5.744000000000001,12.784313725490197,5.901960784313726,7.019607843137255,0.11262745098039217
11_LeftDG_1b,30,372,175,197,4.244,12.4,5.833333333333333,6.566666666666666,0.14146666666666666
11_LeftDG_2a,40,656,315,314,4.347999999999999,16.4,7.875,7.85,0.10869999999999998
11_LeftDG_2b,40,507,228,270,4.408000000000001,12.675,5.7,6.75,0.11020000000000003
11_LeftDG_3a,68,663,298,377,7.464000000000002,9.75,4.382352941176471,5.544117647058823,0.10976470588235297
11_LeftDG_3b,37,497,234,244,3.929,13.432432432432432,6.324324324324325,6.594594594594595,0.10618918918918918
11_RightCA1_1,41,584,275,293,5.158000000000001,14.24390243902439,6.7073170731707314,7.146341463414634,0.12580487804878052
11_RightCA1_2,49,364,160,222,5.139000000000001,7.428571428571429,3.2653061224489797,4.530612244897959,0.10487755102040819
11_RightCA1_3,41,662,310,341,4.649,16.146341463414632,7.560975609756097,8.317073170731707,0.11339024390243903
11_RightCA3_1,34,404,191,212,4.432,11.882352941176471,5.617647058823529,6.235294117647059,0.1303529411764706
11_RightCA3_2,41,296,132,189,4.378000000000001,7.219512195121951,3.2195121951219514,4.609756097560975,0.10678048780487807
