# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
16,7,8,30,59,0.075,4,3,0.182
1,0,2,0,0,0.010,0,0,0.010
20,9,12,30,140,0.112,8,1,0.260
1,0,2,0,1,0.029,0,0,0.029
1,0,2,0,0,0.010,0,0,0.010
126,62,54,221,841,0.108,52,8,0.456
3,1,3,4,10,0.061,1,0,0.098
321,159,132,565,2147,0.109,129,25,0.459
1,0,2,0,0,0.010,0,0,0.010
0,0,1,0,0,0.000,0,0,0.000
1,0,2,0,8,0.120,0,0,0.120
1,0,2,0,11,0.151,0,0,0.151
1,0,2,0,9,0.108,0,0,0.108
1,0,2,0,4,0.065,0,0,0.065
1,0,2,0,2,0.040,0,0,0.040
1,0,2,0,2,0.036,0,0,0.036
22,10,12,37,114,0.089,8,2,0.203
1,0,2,0,5,0.062,0,0,0.062
3,1,3,3,13,0.074,1,0,0.111
9,4,6,9,44,0.078,4,0,0.142
3,1,3,4,18,0.098,1,0,0.191
1,0,2,0,3,0.050,0,0,0.050
1,0,2,0,9,0.108,0,0,0.108
1,0,2,0,8,0.107,0,0,0.107
4,1,4,6,24,0.102,0,1,0.148
1,0,2,0,7,0.096,0,0,0.096
16,6,8,42,156,0.156,3,2,0.466
1,0,2,0,2,0.031,0,0,0.031
1,0,2,0,0,0.015,0,0,0.015
3,1,3,1,3,0.030,1,0,0.040
5,2,4,7,60,0.164,2,0,0.262
2,1,1,3,5,0.045,1,0,0.061
1,0,2,0,4,0.061,0,0,0.061
1,0,2,0,4,0.061,0,0,0.061
1,0,2,0,1,0.025,0,0,0.025
1,0,2,0,4,0.061,0,0,0.061
0,0,1,0,0,0.000,0,0,0.000
1,0,2,0,2,0.040,0,0,0.040
214,106,88,387,1329,0.105,87,14,0.453
1,0,2,0,0,0.010,0,0,0.010
1,0,2,0,11,0.151,0,0,0.151
1,0,2,0,1,0.025,0,0,0.025
0,0,1,0,0,0.000,0,0,0.000
0,0,1,0,0,0.000,0,0,0.000
3,1,3,4,10,0.067,1,0,0.082
1,0,2,0,0,0.010,0,0,0.010
1,0,2,0,0,0.010,0,0,0.010
1,0,2,0,0,0.015,0,0,0.015
1,0,2,0,11,0.138,0,0,0.138
0,0,1,0,0,0.000,0,0,0.000
1,0,2,0,6,0.082,0,0,0.082
1,0,2,0,1,0.025,0,0,0.025
95,47,39,161,533,0.094,37,10,0.316
1,0,2,0,1,0.025,0,0,0.025
1,0,2,0,3,0.050,0,0,0.050
1,0,2,0,0,0.010,0,0,0.010
1,0,2,0,0,0.010,0,0,0.010
1,0,2,0,3,0.046,0,0,0.046
1,0,2,0,1,0.021,0,0,0.021
1,0,2,0,0,0.015,0,0,0.015
1,0,2,0,1,0.025,0,0,0.025
1,0,2,0,0,0.010,0,0,0.010
0,0,1,0,0,0.000,0,0,0.000
0,0,1,0,0,0.000,0,0,0.000
0,0,1,0,0,0.000,0,0,0.000
1,0,2,0,0,0.010,0,0,0.010
3,1,3,3,9,0.056,1,0,0.075
1,0,2,0,0,0.015,0,0,0.015
1,0,2,0,2,0.031,0,0,0.031
1,0,2,0,1,0.025,0,0,0.025
5,2,3,3,24,0.077,1,1,0.151
0,0,1,0,0,0.000,0,0,0.000
1,0,2,0,2,0.040,0,0,0.040
1,0,2,0,2,0.036,0,0,0.036
1,0,2,0,12,0.161,0,0,0.161
1,0,2,0,4,0.061,0,0,0.061
1,0,2,0,2,0.031,0,0,0.031
1,0,2,0,0,0.010,0,0,0.010
1,0,2,0,0,0.010,0,0,0.010
1,0,2,0,0,0.010,0,0,0.010
1,0,2,0,2,0.031,0,0,0.031
1,0,2,0,0,0.010,0,0,0.010
1,0,2,0,0,0.010,0,0,0.010
1,0,2,0,0,0.015,0,0,0.015
1,0,2,0,0,0.010,0,0,0.010
1,0,2,0,7,0.096,0,0,0.096
3,1,3,1,10,0.049,1,0,0.088
3,1,3,3,7,0.052,1,0,0.065
1,0,2,0,0,0.010,0,0,0.010
0,0,1,0,0,0.000,0,0,0.000
1,0,2,0,1,0.029,0,0,0.029
0,0,1,0,0,0.000,0,0,0.000
1,0,2,0,8,0.111,0,0,0.111
1,0,2,0,3,0.046,0,0,0.046
3,1,2,2,1,0.015,0,1,0.025
0,0,1,0,0,0.000,0,0,0.000
0,0,1,0,0,0.000,0,0,0.000
0,0,1,0,0,0.000,0,0,0.000
1,0,2,0,0,0.010,0,0,0.010
1,0,2,0,6,0.086,0,0,0.086
1,0,2,0,0,0.010,0,0,0.010
1,0,2,0,5,0.080,0,0,0.080
1,0,2,0,1,0.025,0,0,0.025
5,2,3,5,15,0.051,1,1,0.117
0,0,1,0,0,0.000,0,0,0.000
0,0,1,0,0,0.000,0,0,0.000
1,0,2,0,0,0.015,0,0,0.015
1,0,2,0,6,0.099,0,0,0.099
0,0,1,0,0,0.000,0,0,0.000
0,0,1,0,0,0.000,0,0,0.000
1,0,2,0,0,0.010,0,0,0.010
1,0,2,0,4,0.052,0,0,0.052
1,0,2,0,1,0.021,0,0,0.021
1,0,2,0,19,0.260,0,0,0.260
