# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,0,2,0,0,0.010,0,0,0.010
96,49,38,174,643,0.109,42,7,0.322
3,1,3,1,11,0.061,1,0,0.128
1,0,2,0,3,0.055,0,0,0.055
3,1,3,4,18,0.094,1,0,0.151
1,0,2,0,5,0.071,0,0,0.071
3,1,2,2,1,0.015,0,1,0.025
139,67,58,258,984,0.114,50,15,0.680
1,0,2,0,3,0.046,0,0,0.046
1,0,2,0,1,0.025,0,0,0.025
1,0,2,0,6,0.082,0,0,0.082
1,0,2,0,11,0.142,0,0,0.142
32,16,13,55,191,0.101,13,3,0.294
1,0,2,0,1,0.025,0,0,0.025
1,0,2,0,24,0.299,0,0,0.299
1,0,2,0,1,0.029,0,0,0.029
1,0,2,0,12,0.166,0,0,0.166
1,0,2,0,27,0.318,0,0,0.318
1,0,2,0,8,0.115,0,0,0.115
175,88,68,321,1608,0.141,73,12,0.644
1,0,2,0,23,0.306,0,0,0.306
1,0,2,0,0,0.010,0,0,0.010
1,0,2,0,9,0.121,0,0,0.121
1,0,2,0,4,0.061,0,0,0.061
1,0,2,0,0,0.015,0,0,0.015
1,0,2,0,3,0.046,0,0,0.046
5,2,4,8,18,0.068,2,0,0.113
5,2,4,4,46,0.129,2,0,0.262
13,6,7,20,73,0.096,5,1,0.284
11,5,6,23,71,0.108,4,1,0.190
1,0,2,0,0,0.010,0,0,0.010
1,0,2,0,0,0.015,0,0,0.015
1,0,2,0,1,0.021,0,0,0.021
29,14,14,47,162,0.093,12,2,0.343
1,0,2,0,0,0.010,0,0,0.010
1,0,2,0,1,0.025,0,0,0.025
1,0,2,0,0,0.010,0,0,0.010
1,0,2,0,0,0.010,0,0,0.010
1,0,2,0,18,0.224,0,0,0.224
1,0,2,0,11,0.160,0,0,0.160
1,0,2,0,1,0.025,0,0,0.025
1,0,2,0,2,0.031,0,0,0.031
0,0,1,0,0,0.000,0,0,0.000
1,0,2,0,7,0.105,0,0,0.105
1,0,2,0,3,0.050,0,0,0.050
1,0,2,0,0,0.015,0,0,0.015
1,0,2,0,4,0.052,0,0,0.052
0,0,1,0,0,0.000,0,0,0.000
1,0,2,0,8,0.120,0,0,0.120
1,0,2,0,1,0.029,0,0,0.029
1,0,2,0,3,0.050,0,0,0.050
7,3,5,10,34,0.083,3,0,0.115
34,17,12,64,263,0.120,13,3,0.435
1,0,2,0,0,0.015,0,0,0.015
0,0,1,0,0,0.000,0,0,0.000
1,0,2,0,6,0.082,0,0,0.082
